nom,rang,adresse,ordre_ens
"Harfang-des-Neiges, édifice Lauzon",272,,Primaire
St. John Fisher Sr.,273,,Primaire
Perce-Neige,274,,Primaire
Madeleine-de-Verchères,275,,Primaire
Sainte-Cécile,276,,Primaire
Sainte-Louise-de-Marillac,277,,Primaire
Saint-Gérard,278,,Primaire
SIMONE-DESJARDINS,279,,Primaire
Alphonse-Desjardins,280,,Primaire
Laurentide,281,,Primaire
CHÉNIER,282,,Primaire
Soulanges,283,,Primaire
Alphonse-Desjardins annexe temporaire,284,,Primaire
"SIMONE-DESJARDINS, pav. Perras",285,,Primaire
"Saint-Fabien, annexe Rosalie-Jetté",286,,Primaire
GABRIELLE-ROY,287,,Primaire
"Gentilly, édifice de la Présentation",288,,Primaire
"Saints-Martyrs-Canadiens, pav. Sauriol",289,,Primaire
Sainte-Geneviève Sud,290,,Primaire
Michelangelo International Elementa,291,,Primaire
Des Amis-du-Monde,292,,Primaire
De la Mosaïque,293,,Primaire
Notre-Dame-du-Foyer,294,,Primaire
Henri-Beaulieu,295,,Primaire
"Harfang-des-Neiges,édifice Gouin",296,,Primaire
Notre-Dame-de-la-Garde,297,,Primaire
Saint-Isaac-Jogues,298,,Primaire
Christmas Park,299,,Primaire
VICTOR-LAVIGNE,300,,Primaire
St. John Fisher Jr.,301,,Primaire
Kingsdale Academy,302,,Primaire
Mount Pleasant,303,,Primaire
Leonardo da Vinci,304,,Primaire
NOTRE-DAME-DE-FATIMA,305,,Primaire
Merton,306,,Primaire
Saint-Clément-Ouest,307,,Primaire
Jonathan,308,,Primaire
Dorval Elementary,309,,Primaire
WILFRID-PELLETIER,310,,Primaire
Saint-Louis,311,,Primaire
"Beau-Séjour,édifice Sud",312,,Primaire
"La Petite-Patrie, pav. NDD",313,,Primaire
"Gentilly, édifice Fénelon",314,,Primaire
Katimavik,315,,Primaire
Ile-des-Soeurs,316,,Primaire
Wilder Penfield,317,,Primaire
St. Anthony,318,,Primaire
Edgewater,319,,Primaire
Edouard-Laurin,320,,Primaire
Académie Saint-Clément,321,,Primaire
Saint-André-Apôtre,322,,Primaire
"WILFRID-PELLETIER, annexe",323,,Primaire
East Hill,324,,Primaire
St. Charles,325,,Primaire
"Notre-Dame-de-la-Garde,édifice Richard",326,,Primaire
De l'Odyssée,327,,Primaire
Saint-Luc,328,,Primaire
Saint-Clément-Est,329,,Primaire
Jacques-Bizard,330,,Primaire
Des Marguerite,331,,Primaire
Christ-Roi,332,,Primaire
Margaret Manson Elementary School,333,,Primaire
Louis-Colin,334,,Primaire
Clearpoint Elementary,335,,Primaire
Beechwood,336,,Primaire
Catherine-Soumillard,337,,Primaire
"Saint-André-Apôtre, annexe",338,,Primaire
"Gardenview 0,87364 95-
100%",339,,Primaire
"Edinburgh 0,87407 95-
100%",340,,Primaire
Marguerite-Bourgeoys,341,,Primaire
"Marguerite-Bourgeoys 0,87464 95-
100%",341,,Primaire
"Sherbrooke Academy Junior 0,87465 95-
100%",342,,Primaire
Victor-Thérien,343,,Primaire
"Victor-Thérien 0,87475 95-
100%",343,,Primaire
PIE XII,344,,Primaire
"PIE XII 0,87482 95-
100%",344,,Primaire
"Westpark 0,87528 95-
100%",345,,Primaire
Au Trésor-du-Boisé,346,,Primaire
"Au Trésor-du-Boisé 0,87546 95-
100%",346,,Primaire
"St. Edmund 0,87559 95-
100%",347,,Primaire
Saint-Rémi,348,,Primaire
"Saint-Rémi 0,87624 95-
100%",348,,Primaire
"Hélène-Boullé 0,87639 95-
100%",349,,Primaire
"Beacon Hill 0,87650 95-
100%",350,,Primaire
"Sherbrooke Academy Senior 0,87833 95-
100%",351,,Primaire
Emile-Nelligan,352,,Primaire
"Emile-Nelligan 0,87854 95-
100%",352,,Primaire
Des Coquelicots,353,,Primaire
"Des Coquelicots 0,87902 95-
100%",353,,Primaire
Jonathan-Wilson,354,,Primaire
"Jonathan-Wilson 0,87960 95-
100%",354,,Primaire
Enfants-du-Monde,355,,Primaire
"Enfants-du-Monde 0,88045 95-
100%",355,,Primaire
Saint-Germain-d'Outremont,356,,Primaire
"Saint-Germain-d'Outremont 0,88181 95-
100%",356,,Primaire
Du Bout-de-l'Isle,357,,Primaire
"Du Bout-de-l'Isle 0,88253 95-
100%",357,,Primaire
