nom_cgtsim,rang,adresse_cgtsim
"Edinburgh 0,87407 95-
100%",340,
"Marguerite-Bourgeoys 0,87464 95-
100%",341,
"Sherbrooke Academy Junior 0,87465 95-
100%",342,
Victor-Thérien,343,
"Victor-Thérien 0,87475 95-
100%",343,
PIE XII,344,
"PIE XII 0,87482 95-
100%",344,
"Westpark 0,87528 95-
100%",345,
Au Trésor-du-Boisé,346,
"Au Trésor-du-Boisé 0,87546 95-
100%",346,
"St. Edmund 0,87559 95-
100%",347,
Saint-Rémi,348,
"Saint-Rémi 0,87624 95-
100%",348,
"Hélène-Boullé 0,87639 95-
100%",349,
"Beacon Hill 0,87650 95-
100%",350,
"Sherbrooke Academy Senior 0,87833 95-
100%",351,
Emile-Nelligan,352,
"Emile-Nelligan 0,87854 95-
100%",352,
Des Coquelicots,353,
"Des Coquelicots 0,87902 95-
100%",353,
Jonathan-Wilson,354,
"Jonathan-Wilson 0,87960 95-
100%",354,
Enfants-du-Monde,355,
"Enfants-du-Monde 0,88045 95-
100%",355,
Saint-Germain-d'Outremont,356,
"Saint-Germain-d'Outremont 0,88181 95-
100%",356,
Du Bout-de-l'Isle,357,
"Du Bout-de-l'Isle 0,88253 95-
100%",357,
